product_id,product_name,category,cost,price,margin,inventory_count,created_at
PRD-00057,Automatic Electric Salt & Pepper Grinders,Home & Kitchen,75.56,146.49,70.93,686,2024-12-01
PRD-00058,Compact Multi-Blade Spiralizer,Home & Kitchen,69.5,152.99,83.49,556,2024-12-01
PRD-00059,Stoneware Dinnerware Set 16-Piece,Home & Kitchen,23.54,47.49,23.95,441,2024-12-01
PRD-00060,Silicone Microwave Popcorn Popper,Home & Kitchen,84.75,176.49,91.74,289,2024-12-01
PRD-00061,Hyaluronic Acid Deep Hydration Serum,Beauty & Personal Care,20.12,75.99,55.87,450,2024-12-01
PRD-00062,Revitalizing Vitamin C Daily Cleanser,Beauty & Personal Care,27.5,68.49,40.99,563,2024-12-01
PRD-00063,Nourishing Argan Oil Hair Mask,Beauty & Personal Care,27.76,70.49,42.73,511,2024-12-01
PRD-00064,Broad Spectrum SPF 50 Mineral Sunscreen,Beauty & Personal Care,6.91,24.99,18.08,626,2024-12-01
PRD-00065,Botanical Gentle Face Exfoliator,Beauty & Personal Care,5.84,24.99,19.15,712,2024-12-01
PRD-00066,Calming Lavender Night Repair Cream,Beauty & Personal Care,33.73,84.99,51.26,425,2024-12-01
PRD-00067,Peptide Firming Eye Complex,Beauty & Personal Care,16.41,44.99,28.58,729,2024-12-01
PRD-00068,Detoxifying Charcoal Clay Mask,Beauty & Personal Care,12.61,37.49,24.88,372,2024-12-01
PRD-00069,Volumizing Biotin Hair Shampoo,Beauty & Personal Care,14.6,51.99,37.39,839,2024-12-01
PRD-00070,Silk Smooth Moisturizing Body Butter,Beauty & Personal Care,25.31,64.99,39.68,503,2024-12-01
PRD-00071,Antioxidant Green Tea Facial Toner,Beauty & Personal Care,31.3,86.99,55.69,665,2024-12-01
PRD-00072,Gentle Sulfate-Free Body Wash,Beauty & Personal Care,11.8,36.99,25.19,762,2024-12-01
PRD-00073,Overnight Barrier Repair Balm,Beauty & Personal Care,28.1,84.49,56.39,704,2024-12-01
PRD-00074,Rejuvenating Rosehip Facial Oil,Beauty & Personal Care,6.2,16.99,10.79,745,2024-12-01
PRD-00075,Hydrating Coconut Lip Polish Set,Beauty & Personal Care,20.25,56.99,36.74,525,2024-12-01
PRD-00076,Clarifying Salicylic Acid Spot Treatment,Beauty & Personal Care,25.51,62.99,37.48,180,2024-12-01
PRD-00077,Mineral Rich Bath Soak Salts,Beauty & Personal Care,8.27,22.99,14.72,495,2024-12-01
PRD-00078,Brightening Niacinamide Concentrate,Beauty & Personal Care,9.37,25.99,16.62,277,2024-12-01
PRD-00079,Restorative Collagen Hand Cream,Beauty & Personal Care,15.84,46.49,30.65,772,2024-12-01
PRD-00080,Aromatherapy Shower Steamers 6-Pack,Beauty & Personal Care,32.75,87.99,55.24,315,2024-12-01
PRD-00081,ProGrip High-Density Yoga Mat,Sports & Outdoors,39.19,77.99,38.8,461,2024-12-01
PRD-00082,Heavy-Duty Resistance Bands 5-Pack,Sports & Outdoors,68.21,151.49,83.28,697,2024-12-01
PRD-00083,Insulated Hydro Canteen 32oz,Sports & Outdoors,58.28,115.99,57.71,847,2024-12-01
PRD-00084,Ultralight Carbon Trekking Poles,Sports & Outdoors,15.58,31.99,16.41,706,2024-12-01
PRD-00085,Compact Inflatable Camping Pillow,Sports & Outdoors,56.37,105.99,49.62,801,2024-12-01
PRD-00086,Fast-Drying Microfiber Gym Towel,Sports & Outdoors,72.94,140.99,68.05,812,2024-12-01
PRD-00087,Speed Jump Rope with Ball Bearings,Sports & Outdoors,24.1,43.99,19.89,213,2024-12-01
PRD-00088,Tactical Folding Multi-Tool Knife,Sports & Outdoors,101.84,211.99,110.15,327,2024-12-01
PRD-00089,Waterproof Dry Bag 20L Backpack,Sports & Outdoors,18.14,31.99,13.85,655,2024-12-01
PRD-00090,Adjustable Dumbbell Set 5-25lbs,Sports & Outdoors,113.86,232.99,119.13,563,2024-12-01
PRD-00091,High-Visibility Running Vest with LED,Sports & Outdoors,22.68,42.99,20.31,185,2024-12-01
PRD-00092,Portable Aluminum Camping Chair,Sports & Outdoors,101.72,214.99,113.27,216,2024-12-01
PRD-00093,TrailReady 500-Lumen Headlamp,Sports & Outdoors,111.71,227.99,116.28,514,2024-12-01
PRD-00094,Foam Muscle Recovery Roller,Sports & Outdoors,110.0,245.99,135.99,581,2024-12-01
PRD-00095,Heavy-Duty Kettlebell 16kg,Sports & Outdoors,100.6,204.99,104.39,267,2024-12-01
PRD-00096,GripTech Weightlifting Gloves,Sports & Outdoors,116.57,199.99,83.42,269,2024-12-01
PRD-00097,Quick-Pitch 2-Person Backpacking Tent,Sports & Outdoors,87.54,167.49,79.95,240,2024-12-01
PRD-00098,Stainless Steel Campfire Mess Kit,Sports & Outdoors,113.09,199.49,86.4,545,2024-12-01
PRD-00099,Electrolyte Hydration Flask 24oz,Sports & Outdoors,27.57,50.99,23.42,155,2024-12-01
PRD-00100,Thermal Insulated Ski Gloves,Sports & Outdoors,66.17,143.99,77.82,550,2024-12-01
